name,url,followers_public,profile_description,profile_image_url,status
Mc Paiva,https://www.instagram.com/mcdavipaiva/,,,,429
Meire D'Origem,https://www.instagram.com/meire.dorigem/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Jonas Almeida,https://www.instagram.com/jonasalmeida/,,,,429
Alessandra Labat,https://www.instagram.com/alessandralabat/,,,,429
Miadissima,https://www.instagram.com/miadissima/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Jp Goes,https://www.instagram.com/oultimocinefilo_/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Ane Borsato,https://www.instagram.com/borsatoanne/,,,,429
Casal SJC,https://www.instagram.com/ocasaldesjc/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Nogy (Canal 90),https://www.youtube.com/canalnoventa/,,,,not_checked
Gabi Ferreira,https://www.instagram.com/gabifsouza_/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Julia Bartolo,https://www.instagram.com/juliabartoloo/,,,,429
Ana Clara,https://www.instagram.com/anaclara.ks/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Casemiro Jogador,https://www.instagram.com/casemiro/,,,,429
Notícias SJC,https://www.instagram.com/noticias.sjcampos/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Gabi Vilela,https://www.instagram.com/gabivilelap/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Juliana Fraga,https://www.instagram.com/julianafragasjc/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Ana Rita Yunes,https://www.instagram.com/anayunes/,,,,429
Chefe Do Beneﬁcio Busca,https://www.instagram.com/chefedobeneficio/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Busca,https://www.instagram.com/chefedobeneficio/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
O Desesquerdisador,https://www.instagram.com/o_desesquerdizador/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Gabi Souza,https://www.instagram.com/gabyy.souzaoficial/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Junior Barbarossa,https://www.instagram.com/juniorbarbarossa/,,,,429
Aquivaleoﬁcial,https://www.instagram.com/aquivaleoficial/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Conciergeriebrasil,https://www.instagram.com/conciergeriebrasil/,,,,429
vamosfugirprovale,https://www.instagram.com/vamosfugirprovale/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
Gandula,https://www.instagram.com/gandula/,,Create an account or log in to Instagram - Share what you,https://static.cdninstagram.com/rsrc.php/v4/yD/r/R0fBIMurK8v.png,200
